name,min_AIC,MSE
"Fayetteville, NC2br",188.8061905,16055.25644
"Fayetteville, NC3br",203.5159198,26546.04095
"Fayetteville, NC4br",215.363758,43459.65284
"Fayetteville-Springdale-Rogers, AR_Overall",190.79667,17454.47304
"Fayetteville-Springdale-Rogers, AR_Studio",174.1493232,9100.894357
"Fayetteville-Springdale-Rogers, AR1br",174.3238593,10048.2537
"Fayetteville-Springdale-Rogers, AR2br",185.6185142,15339.05791
"Fayetteville-Springdale-Rogers, AR3br",202.6830597,27368.56171
"Fayetteville-Springdale-Rogers, AR4br",215.0246439,42396.96584
"Fort Collins, CO_Overall",223.2284284,40942.77834
"Fort Collins, CO_Studio",196.3475881,23112.04553
"Fort Collins, CO1br",207.2220077,23301.74481
"Fort Collins, CO2br",219.7182991,35399.60771
"Fort Collins, CO3br",235.6864613,65653.04153
"Fort Collins, CO4br",241.8070063,82686.13031
"Fort Wayne, IN_Overall",213.6470316,12802.1038
"Fort Wayne, IN_Studio",197.6013838,7182.267146
"Fort Wayne, IN1br",195.0720185,8808.2611
"Fort Wayne, IN2br",213.9773306,13106.0315
"Fort Wayne, IN3br",223.1860069,18183.97608
"Fort Wayne, IN4br",227.0609154,22189.26712
"Fresno, CA_Overall",223.2347535,23765.9546
"Fresno, CA_Studio",211.1375482,14767.31372
"Fresno, CA1br",206.6438557,12781.46677
"Fresno, CA2br",219.8132,21622.32455
"Fresno, CA3br",234.710245,34947.62407
"Fresno, CA4br",245.2517817,50845.66235
"Gainesville, FL_Overall",237.7514088,42264.06808
"Gainesville, FL_Studio",212.2048962,12887.53332
"Gainesville, FL1br",228.4904205,25097.97303
"Gainesville, FL2br",238.8002369,24447.13171
"Gainesville, FL3br",250.1592893,36570.67496
"Gainesville, FL4br",249.8730527,64696.94678
"Gainesville, GA_Overall",223.4719485,28471.16761
"Gainesville, GA_Studio",217.2702677,24157.45634
"Gainesville, GA1br",211.5109796,19823.24226
"Gainesville, GA2br",210.1479175,29055.89921
"Gainesville, GA3br",227.5037211,35615.34705
"Gainesville, GA4br",230.2182751,56751.33248
"Grand Forks, ND-MN_Overall",188.4785574,15946.70149
"Grand Forks, ND-MN_Studio",168.564394,7485.650004
"Grand Forks, ND-MN1br",178.8197007,21413.32562
"Grand Forks, ND-MN2br",190.4502078,16739.06504
"Grand Forks, ND-MN3br",207.0677225,32884.55448
"Grand Forks, ND-MN4br",219.2661816,52673.8602
"Grand Rapids-Kentwood, MI_Overall",190.7480975,19710.53228
"Grand Rapids-Kentwood, MI_Studio",185.3323008,14705.61711
"Grand Rapids-Kentwood, MI1br",182.0780954,13244.14333
"Grand Rapids-Kentwood, MI2br",192.832675,19519.1005
"Grand Rapids-Kentwood, MI3br",201.6298763,29030.50564
"Grand Rapids-Kentwood, MI4br",203.2850444,39030.58196
"Greeley, CO_Overall",199.3470429,29509.8609
"Greeley, CO_Studio",183.5834481,13765.70753
"Greeley, CO1br",179.9168849,13728.73882
"Greeley, CO2br",194.0394209,24959.39311
"Greeley, CO3br",209.2349207,43178.3082
"Greeley, CO4br",223.3082701,59238.93288
"Greensboro-High Point, NC_Overall",172.0020936,16988.51488
"Greensboro-High Point, NC_Studio",164.4780276,12080.50548
"Greensboro-High Point, NC1br",161.5387457,11580.59466
"Greensboro-High Point, NC2br",170.3587808,16042.15033
"Greensboro-High Point, NC3br",178.051687,23433.21399
"Greensboro-High Point, NC4br",182.055397,33081.23773
"Greenville-Anderson, SC_Overall",189.9537055,22704.15737
"Greenville-Anderson, SC_Studio",177.4648996,15558.03128
"Greenville-Anderson, SC1br",178.2214925,16331.02322
"Greenville-Anderson, SC2br",186.2491241,20804.64092
"Greenville-Anderson, SC3br",197.1688504,29479.82006
"Greenville-Anderson, SC4br",209.3480362,49245.82628
"Gulfport-Biloxi, MS_Overall",192.8108157,14700.24448
"Gulfport-Biloxi, MS_Studio",171.4098379,6814.643694
"Gulfport-Biloxi, MS1br",178.0252899,8890.55732
"Gulfport-Biloxi, MS2br",186.7296695,12074.24931
"Gulfport-Biloxi, MS3br",201.4486139,20467.43333
"Gulfport-Biloxi, MS4br",213.487118,29323.85774
"Harrisburg-Carlisle, PA_Overall",223.138795,20771.78681
"Harrisburg-Carlisle, PA_Studio",208.3489149,13177.67101
"Harrisburg-Carlisle, PA1br",210.7708638,13347.30088
"Harrisburg-Carlisle, PA2br",220.5339591,22230.08598
